"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant(s) de l’agent dans le(s) référentiel(s) des Archives nationales","Nom de la classe RiC-O d’appartenance","Forme privilégiée du nom de l’agent","Autres formes du nom de l’agent","Date de début d’existence","Date de fin d’existence","Statut juridique ou catégorie","Présence d’éléments historiques rédigés","Domaines fonctionnels ou fonctions","Identifiant ISNI","Identifiant Wikidata","Notice Wikipédia","URI BnF","Date de création de la notice","Date de dernière mise à jour de la notice"
"agent/009237","009237","rico:CorporateBody","Association de cogestion pour les déplacements à but éducatif des jeunes","COGEDEP","1959-01-01","1983-12-31","association","non",,,,,,"2013-04-23","2013-04-23"
"agent/050161","050161","rico:CorporateBody","Association de culture berbère (1981-....)","ACB","1981-01-01",,,"oui","activité associative | culture","000000010675846X",,,"https://data.bnf.fr/ark:/12148/cb11996492r#about","2013-09-04","2018-07-09"
"agent/051007","051007","rico:CorporateBody","Association de défense des intérêts des donateurs et ayants droit de l’ex Patrimoine photographique (Paris, France ; 2004-2012)","ADIDAEPP","2004-10-27","2012-04-12",,"oui","activité associative | culture",,,,,"2015-05-12","2018-07-10"
"agent/053029","053029","rico:CorporateBody","Association de gestion du fonds pour l’insertion professionnelle des personnes handicapées (France ; 1987-….)",,"1987-07-10",,"association","oui","emploi","0000000090561725",,"https://fr.wikipedia.org/wiki/Association_de_gestion_du_fonds_pour_l%27insertion_professionnelle_des_personnes_handicap%C3%A9es","https://data.bnf.fr/ark:/12148/cb12270154f#about","2021-07-19","2021-07-19"
"agent/009300","009300","rico:CorporateBody","Association de la bourgeoisie ancienne française (1978-1987)","ABAF","1978-01-01","1987-12-31","association","oui","action sociale",,,,,"2013-04-23","2018-07-06"
"agent/005641","005641","rico:CorporateBody","Association de la Grande Halle de la Villette","AGH","1984-01-01","2002-12-31","association","non",,,,,,"2013-04-23","2013-04-23"
"agent/053630","053630","rico:CorporateBody","Association des amis de Jean Zay (France ; 1946-....)","Les Amis de Jean Zay","1946-01-01",,"association","oui","activité associative | éducation nationale",,,,"https://data.bnf.fr/ark:/12148/cb12544730z#about","2024-04-30","2024-05-17"
"agent/053409","053409","rico:CorporateBody","Association des amis de Sèvres (France ; 1948-2017)","CIEP | Association des amis du Centre international d’études pédagogiques (1948-1997)","1948-08-23","2017-12-05","association","oui","formation | éducation nationale","0000000092638458",,,"https://data.bnf.fr/ark:/12148/cb12409674h#about","2022-11-17","2022-12-06"
"agent/050830","050830","rico:CorporateBody","Association des anciens élèves de l'Ecole des Roches et du Collège de Normandie (France)","Association des anciens élèves de l'Ecole des Roches (France)","1910-05-31",,,"oui",,,,,,"2014-07-30",
"agent/009211","009211","rico:CorporateBody","Association des anciens élèves de l’École nationale d’administration de l’Éducation nationale, de l’Enseignement supérieur, de la Recherche, de la Technologie, de la Jeunesse et des Sports (France ; 1961-….)","ÉDUC-ÉNA | Association des inspecteurs généraux des services administratifs et des administrateurs civils du ministère de l’Éducation nationale, anciens élèves de l’École nationale d’administration | Association des administrateurs civils et des inspecteurs généraux de l’Éducation nationale anciens élèves de l’École nationale d’administration | Association des anciens élèves de l’École nationale d’administration de l’Éducation nationale, de l’Enseignement supérieur, de la Recherche, de la Technologie, de la Jeunesse et des Sports (EDUC'ENA)","1961-11-14",,"association","oui","activité associative | fonction publique",,,,,"2013-04-23","2021-06-04"
"agent/052131","052131","rico:CorporateBody","Association des anciens élèves et amis de la Bergerie nationale de Rambouillet (France ; 1938-....)","Les moutonniers de France (école nationale d'élévage ovin)- Union des techniciens ovins | Association amicale des anciens élèves de l'école nationale d'élevage ovin de Rambouillet | Association des anciens élèves de l'école technique spécialisée de bergers de Rambouillet","1938-07-27",,,"oui","activité associative | agriculture",,,,"https://data.bnf.fr/ark:/12148/cb12005204k#about","2018-11-05","2019-02-20"
"agent/050004","050004","rico:CorporateBody","Association des archivistes français (1904-...)","AAF | Association amicale professionelle des archivistes français (1904-1969)","1904-04-10",,,"oui","activité associative | formation",,,,"https://data.bnf.fr/ark:/12148/cb11885120f#about","2013-05-03","2018-07-10"
"agent/051917","051917","rico:CorporateBody","Association des centres de formation de jardinières éducatrices (France ; 1946-....)","ACFJE","1946-03-01",,,"oui","activité associative (1946-03-01/.... ) | formation (1946-03-01/.... )",,,,,"2018-01-11","2019-01-11"
"agent/009926","009926","rico:CorporateBody","Association des employeurs du service public de l’audiovisuel (France ; 1982-2009)","Association des employeurs des journalistes professionnels de l'audiovisuel du secteur public | Association des employeurs de l’audiovisuel du secteur public | Association des employeurs du service public de l’audiovisuel | Association des employeurs du service public de l’audiovisuel (AESPA) | AESPA","1982-03-22","2009-04-23","association","oui","activité associative | organisation du travail | relations du travail",,,,,"2013-04-23","2020-08-18"
"agent/010018","010018","rico:CorporateBody","Association des enseignants et chercheurs en sciences de l’éducation (France ; 1972-....)","Association des enseignant.e.s et chercheur.e.s en sciences de l’éducation | AECSE","1972-06-20",,"association","oui","activité associative | documentation | enseignement supérieur | éducation nationale","0000000120977394",,,"https://data.bnf.fr/ark:/12148/cb118731949#about","2013-04-23","2021-06-07"
"agent/009226","009226","rico:CorporateBody","Association des étudiants de l'École d'architecture de Paris-Belleville",,"1971-01-01",,"association","non",,,,,,"2013-04-23","2013-04-23"
"agent/051569","051569","rico:CorporateBody","Association des honneurs héréditaires (France ; 1967-....)","Association des anciens honneurs héréditaires | AHH | Association d'entraide des honneurs héréditaires de la Légion d'honneur","1967-03-02",,"association","oui","activité associative (1967-03-02/.... )",,"Q28790044","https://fr.wikipedia.org/wiki/Association_des_anciens_honneurs_héréditaires | https://fr.wikipedia.org/wiki/Association_des_anciens_honneurs_h%C3%A9r%C3%A9ditaires","https://data.bnf.fr/ark:/12148/cb120310291#about","2017-07-13","2024-05-28"
"agent/009256","009256","rico:CorporateBody","Association des ingénieurs des Ponts et chaussées","AIPC","1902-01-01","2010-12-31","association","non",,,,,,"2013-04-23","2013-04-23"
"agent/FRAN_RI_013-d3m0bo5dwnh-rfxvwua5xc48","d3m0bo5dwnh-rfxvwua5xc48","rico:CorporateBody","Association des maires de France",,,,,"oui",,,,,,,
"agent/052649","052649","rico:CorporateBody","Association des Maisons de la culture (France ; 1936-1939)",,"1936-05-22","1939-12-31","association","oui","activité associative | activité politique | arts | création artistique | culture",,,,,"2020-07-08","2021-06-03"
"agent/050165","050165","rico:CorporateBody","Association des Monuments historiques de la France (1936-....)",,"1936-01-01",,"association","oui","édition",,,,,"2016-02-02","2021-09-14"
"agent/053688","053688","rico:CorporateBody","Association des professeurs d'histoire et de géographie (France ; 1910-....)","Association des professeurs d'histoire et d'éducation civique de géographie de l'enseignement public | Association des professeurs d'histoire et de géographie de l'enseignement public | Association des professeurs d'histoire et de géographie et d'éducation civique de l'enseignement public | Association of history and geography teachers | APHG | Association des professeurs d'histoire-géographie | Société des professeurs d'histoire-géographie | Société des professeurs d'histoire et de géographie | Société des professeurs d'histoire et de géographie de l'enseignement public | Société des professeurs d'histoire, de géographie et d'instruction civique","1910-01-01",,"association","oui","activité associative | éducation nationale","0000000122381332","Q23932086","https://fr.wikipedia.org/wiki/Association_des_professeurs_d%27histoire_et_de_g%C3%A9ographie","https://data.bnf.fr/ark:/12148/cb11870973t#about","2024-10-25","2024-10-28"
"agent/051345","051345","rico:CorporateBody","Association des Professionnels de Concorde et du Supersonique (2001-....)","A.P.C.O.S. (2001-....)","2001-01-08",,,"oui","activité associative",,,,,"2016-09-05",
"agent/052444","052444","rico:CorporateBody","Association des travailleurs maghrébins de France (1982-....)","ATMF | Association des travailleurs marocains en France | Association des travailleurs marocains de France","1982-01-19",,"association","oui","action sociale | activité associative","0000000119569609",,"https://fr.wikipedia.org/wiki/Association_des_travailleurs_maghr%C3%A9bins_de_France","https://data.bnf.fr/ark:/12148/cb11871006f#about","2020-01-09","2020-06-09"
"agent/009214","009214","rico:CorporateBody","Association des utilisateurs du réseau Online Computer Library Center en France (France ; 1990-2002)","Association des utilisateurs du réseau OCLC en France (AUROC) - Online Computer Library Center | AUROC","1990-08-01","2002-03-01","association","oui","activité associative | gestion des systèmes d’information",,,,,"2013-04-23","2021-09-21"
"agent/050640","050640","rico:CorporateBody","Association Dialogue entre les cultures",,"1982-04-01","1995-09-16",,"oui",,,,,,"2013-10-15",
"agent/052205","052205","rico:CorporateBody","Association Didier Seux, santé mentale et S.I.D.A. (1987-2000)","Association Didier Seux, santé mentale et Sida | ADS","1987-01-01","2000-12-31",,"oui","santé","0000000106566740",,,"https://data.bnf.fr/ark:/12148/cb123490092#about","2019-02-22","2019-03-06"
"agent/009995","009995","rico:CorporateBody","Association du 21 juin","Fondation Danielle Mitterrand","1982-01-01","1986-12-31","association","non",,,,,,"2013-04-23","2013-04-23"
"agent/009203","009203","rico:CorporateBody","Association du corps préfectoral et des hauts fonctionnaires du ministère de l'Intérieur",,"1945-01-01",,"association","non",,,,,,"2013-04-23","2023-03-10"
"agent/053110","053110","rico:CorporateBody","Association du Prix Albert Londres (Paris ; 1959-….)","Association du Prix Albert Londres | Prix Albert-Londres | Prix Albert Londres","1959-06-25",,"association","oui","activité associative | culture",,,"https://fr.wikipedia.org/wiki/Prix_Albert-Londres","https://data.bnf.fr/ark:/12148/cb11990639d#about","2021-12-15","2022-03-22"
"agent/FRAN_RI_013-d3m0bo5r7zt--1ox50hfix3hpk","d3m0bo5r7zt--1ox50hfix3hpk","rico:CorporateBody","Association européenne de libre-échange","AELE",,,,"non",,,,,,,
"agent/009252","009252","rico:CorporateBody","Association forêt-cellulose (France ; 1962-2007)","AFOCEL","1962-01-01","2007-06-01","association","oui","activité associative | agriculture | écologie","0000000121655231",,,"https://data.bnf.fr/ark:/12148/cb118732519#about","2013-04-23","2019-11-19"
"agent/051985","051985","rico:CorporateBody","Association française d'information et de recherche sur l'enfance maltraitée (1979-....)","AFIREM","1979-04-19",,,"oui","action sociale (1979-04-19/.... ) | activité associative (1979-04-19/.... ) | santé (1979-04-19/.... )","0000000100677503",,,"https://data.bnf.fr/ark:/12148/cb120450501#about","2018-02-15","2019-01-09"
"agent/FRAN_RI_013-d3m0bo53jvg-xw6373ctgi37","d3m0bo53jvg-xw6373ctgi37","rico:CorporateBody","Association française de normalisation","AFNOR",,,,"non",,,,,,,
"agent/009311","009311","rico:CorporateBody","Association française des femmes diplômées des universités (1919-....)","AFFDU | Société française féminine de rapprochement universitaire | Rapprochement universitaire féminin | Association française des femmes diplômées des universités","1919-01-01",,"association","oui","activité associative | droits des femmes | éducation nationale","0000000093984010",,"https://fr.wikipedia.org/wiki/Association_française_des_femmes_diplômées_des_universités","https://data.bnf.fr/ark:/12148/cb12389504j#about","2013-04-23","2019-11-15"
"agent/050907","050907","rico:CorporateBody","Association française des magistrats de la jeunesse et de la famille (1948-....)","AFMJF","1948-02-09",,,"oui","activité associative | justice","0000000091357064",,,,"2015-04-27",
"agent/050861","050861","rico:CorporateBody","Association française des organismes de formation et de recherche en travail social (1991-....)","AFORTS | Union nationale des instituts de formation du travail éducatif et social | UNITES","1991-10-01",,,"oui","activité associative (1991-10-01/.... ) | formation (1991-10-01/.... )","0000000119596957",,,"https://data.bnf.fr/ark:/12148/cb144366244#about","2015-01-27","2019-01-17"
"agent/005642","005642","rico:CorporateBody","Association française pour les célébrations nationales",,"1974-01-01","1998-12-31","association","non",,,,,,"2013-04-23","2013-04-23"
"agent/050893","050893","rico:CorporateBody","Association France ESF (Economie Sociale Familiale)","France ESF","1997-02-01",,,"oui","activité associative | affaires sociales",,,,,"2015-02-12",
"agent/050171","050171","rico:CorporateBody","Association France-URSS (1945-1992)",,"1945-01-01","1992-12-31",,"oui","activité associative | coopération","0000000107228735","Q2867252","https://fr.wikipedia.org/wiki/Association_France-URSS",,"2016-02-02",
"agent/009227","009227","rico:CorporateBody","Association générale des conservateurs des collections publiques de France (1922-….)","Association générale des conservateurs des collections publiques de France et de l’Union française | Association générale des conservateurs des collections publiques de France et de la Communauté française | Association générale des conservateurs des collections publiques de France | Association nationale des conservateurs et des professionnels des musées et des patrimoines publics de France","1922-04-24",,"association","oui","activité associative | culture | promotion | recherche | étude des textes","0000000119554781",,,"https://data.bnf.fr/ark:/12148/cb118798204#about","2013-04-23","2021-06-07"
"agent/050867","050867","rico:CorporateBody","Association internationale des éducateurs de jeunes inadaptés (France) (1951-....)","AIEJI","1951-03-19",,,"oui","action sociale (1951-03-19/.... ) | activité associative (1951-03-19/.... )",,"Q4651902",,"https://data.bnf.fr/ark:/12148/cb10161360h#about","2014-10-10","2019-01-15"
"agent/050785","050785","rico:CorporateBody","Association Maurice Utrillo",,"1963-11-01",,,"oui",,,,,,"2014-05-05",
"agent/050894","050894","rico:CorporateBody","Association nationale d'entr'aide féminine (France) (1952-....)","ANEF | Association nationale d’Entraide | Fédération ANEF","1952-01-04",,,"oui","action sociale (1952-01-04/.... ) | affaires sociales (1952-01-04/.... )",,,,"https://data.bnf.fr/ark:/12148/cb12493073x#about","2015-02-12","2019-01-09"
"agent/009025","009025","rico:CorporateBody","Association nationale de migration et d'établissements ruraux","ANMER","1953-01-01","1966-12-31","association","non",,,,,,"2013-04-23","2013-04-23"
"agent/050916","050916","rico:CorporateBody","Association nationale des assistants de service social (France). Comité départemental de Maine-et-Loire (1944-....)","ANAS | Association nationale des assistantes sociales diplômées d'État (ANASDÉ)","1944-12-09",,,"oui","action sociale (1944-12-09/.... ) | activité associative (1944-12-09/.... )","0000000110930795",,,"https://data.bnf.fr/ark:/12148/cb11883046c#about","2015-04-23","2019-01-09"
