"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant du concept dans la version du référentiel interne au SIA","Nom de la classe RiC-O d’appartenance","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Définition (skos:definition)","Note sur la portée (skos:scopeNote)","Identifiant du concept générique (skos:broader)","Dénomination du concept générique","Exemples","Concepts associés (skos:related)","Concepts équivalents dans autres thésaurus (skos:exactMatch)","Concepts proches dans autres thésaurus (skos:closeMatch)","Concepts spécifiques dans autres thésaurus (skos:narrowMatch)","Concepts génériques dans autres thésaurus (skos:broadMatch)","Concepts associés dans autres thésaurus (skos:relatedMatch)","Notes sur les modifications effectuées pour ce concept (skos:changeNote)"
"placeType/paroisse",,"PlaceType","paroisse",,"Organisation qui est originellement, dans le christianisme, la subdivision de base d’un diocèse de l’Église. La paroisse occupe un rôle essentiel dans la vie religieuse, elle est le lieu de culte, de célébration pour les croyants (source : Wikipédia).",,,,,,,,,,,
"placeType/parvis",,"PlaceType","parvis",,"« Un parvis est l’espace ouvert devant l’entrée d’une église dont le périmètre est délimité par une clôture ». (source: Wikipédia)",,"placeType/place","place",,,"http://www.wikidata.org/entity/Q283977",,,,,"2025-03-12 : Concept ajouté."
"placeType/passage",,"PlaceType","passage",,"« Un passage est en construction-architecture, urbanisme et voirie, une voie qui sert de passage entre 2 rues ou entre deux bâtiments ». (source : Wikipédia).",,"placeType/voie","voie",,,"http://www.wikidata.org/entity/Q13634881",,,,,"2025-03-12 : Concept ajouté."
"placeType/passerelle",,"PlaceType","passerelle",,"« Une passerelle est, dans le domaine de l’architecture, un pont ou un passage aérien, à l’usage exclusif des piétons voire des cyclistes, pouvant par exemple relier deux bâtiments entre eux, enjamber un cours d’eau ou une voie navigable, un axe de circulation routière ou ferroviaire, etc ». (source: Wikipédia).",,"placeType/pont","pont",,,"http://www.wikidata.org/entity/Q1068842",,,,,"2025-03-12 : Concept ajouté."
"placeType/pays",,"PlaceType","pays",,,,,,,,,,,,,
"placeType/p%C3%A9ristyle",,"PlaceType","péristyle",,"« Un péristyle est une galerie de colonnes faisant le tour extérieur (entièrement ou partiellement, sous la forme d’un porche) ou intérieur d’un édifice ». (source: Wikipédia)",,"placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,"http://www.wikidata.org/entity/Q725453",,,,,"2025-03-12 : Concept ajouté."
"placeType/phare",,"PlaceType","phare",,,,"placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,,,,,,
"placeType/pic",,"PlaceType","pic",,"Sommet montagneux assez pointu (source : Wikipédia).",,"placeType/zone%20naturelle","zone naturelle",,,"http://data.ign.fr/id/codes/topo/typederelief/Pic",,,,,"2020-06-17 : Ajouté le 17 juin 2020."
"placeType/place",,"PlaceType","place",,"« Une place est un espace public non bâti, desservi par des voies de communication ; elle peut être affectée aux piétons ou aux véhicules ». (source: Wikipédia).",,"placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,"http://www.wikidata.org/entity/Q174782",,,,,"2025-03-12 : Concept ajouté."
"placeType/plage",,"PlaceType","plage",,,,"placeType/zone%20naturelle","zone naturelle",,,,,,,,
