"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant du concept dans la version du référentiel interne au SIA","Nom de la classe RiC-O d’appartenance","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Définition (skos:definition)","Note sur la portée (skos:scopeNote)","Identifiant du concept générique (skos:broader)","Dénomination du concept générique","Exemples","Concepts associés (skos:related)","Concepts équivalents dans autres thésaurus (skos:exactMatch)","Concepts proches dans autres thésaurus (skos:closeMatch)","Concepts spécifiques dans autres thésaurus (skos:narrowMatch)","Concepts génériques dans autres thésaurus (skos:broadMatch)","Concepts associés dans autres thésaurus (skos:relatedMatch)","Notes sur les modifications effectuées pour ce concept (skos:changeNote)"
"thing/FRAN_RI_004-d3ndf3awdg-14lui8jp0gy0z","d3ndf3awdg-14lui8jp0gy0z","Thing","cour prévôtale",,,,"thing/FRAN_RI_004-d3ndf38ztp--1r63seewdb1bz","juridiction",,,,,,,,
"thing/FRAN_RI_004-d3ndfz5btr-1f8xjfynmv7h8","d3ndfz5btr-1f8xjfynmv7h8","Thing","courrier","trafic postal",,,"thing/FRAN_RI_004-d3ndfz3ul0-ela1y718ga0x","poste",,,,,,,,
"thing/FRAN_RI_004-d3ndfca24b--oqx54df4p4br","d3ndfca24b--oqx54df4p4br","Thing","cours d'eau",,,,"thing/FRAN_RI_004-d3ndfc9jd6--a2lm8gihr170","eau",,,,,,,,
"thing/FRAN_RI_004-d3ndevf75w-1mj9efc6f806x","d3ndevf75w-1mj9efc6f806x","Thing","course",,,,"thing/FRAN_RI_004-d3ndevcnrm-17rk9sb772uft","police administrative",,,,,,,,
"thing/FRAN_RI_004-d3ndevg3a6--12xkckhowewct","d3ndevg3a6--12xkckhowewct","Thing","course de lévriers",,,,"thing/FRAN_RI_004-d3ndevf75w-1mj9efc6f806x","course",,,,,,,,
"thing/FRAN_RI_004-d3ndevgvir-yrkh2j5vd5bk","d3ndevgvir-yrkh2j5vd5bk","Thing","course hippique","hippisme",,,"thing/FRAN_RI_004-d3ndevf75w-1mj9efc6f806x","course",,"thing/FRAN_RI_004-d3ndevu6pj--oooqxublvnkz",,,,,,
"thing/FRAN_RI_004-d3m010nrvpu-1h0rlxgru83fc","d3m010nrvpu-1h0rlxgru83fc","Thing","coût","prix de revient",,,"thing/FRAN_RI_004-d3ndf58jbw-1ujeec427fii6","politique des prix",,,,,,,,
"thing/FRAN_RI_004-d3ndfhx9ch--1qau7qsdoqbch","d3ndfhx9ch--1qau7qsdoqbch","Thing","coût de la santé","dépense de santé",,,"thing/FRAN_RI_004-d3ndfhvjwu--eu9vjxk8wy7v","système de santé",,,,,,,,
"thing/FRAN_RI_004-d3ndfikdu5--itmf3e43nbvp","d3ndfikdu5--itmf3e43nbvp","Thing","couverture maladie universelle",,,,"thing/FRAN_RI_004-d3ndfihuvd-pv77iggki08p","sécurité sociale",,,,,,,,
"thing/FRAN_RI_004-d3ndfr1lze-alqi7m0ihtk2","d3ndfr1lze-alqi7m0ihtk2","Thing","création artistique","art",,,"thing/FRAN_RI_004-d3ndfpz2uw--1hdr8ku7mufni","culture",,,,,,,,
