"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant du concept dans la version du référentiel interne au SIA","Nom de la classe RiC-O d’appartenance","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Définition (skos:definition)","Note sur la portée (skos:scopeNote)","Identifiant du concept générique (skos:broader)","Dénomination du concept générique","Exemples","Concepts associés (skos:related)","Concepts équivalents dans autres thésaurus (skos:exactMatch)","Concepts proches dans autres thésaurus (skos:closeMatch)","Concepts spécifiques dans autres thésaurus (skos:narrowMatch)","Concepts génériques dans autres thésaurus (skos:broadMatch)","Concepts associés dans autres thésaurus (skos:relatedMatch)","Notes sur les modifications effectuées pour ce concept (skos:changeNote)"
"activityType/changement%20de%20nom",,"ActivityType","changement de nom",,,,"activityType/contr%C3%B4le%20du%20statut%20des%20personnes","contrôle du statut des personnes",,,,,,,,
"activityType/classement%20de%20voie%20urbaine",,"ActivityType","classement de voie urbaine",,"Acte administratif qui donne à une voie urbaine son caractère de voie publique et la soumet au régime juridique associé à cette catégorie.",,"activityType/FRAN_RI_011-d3nyuimm9z--1tz0n2jqoofo0","urbanisme",,,,,,,,"22/07/2025 : concept ajouté dans le cadre des travaux sur le référentiel des voies de Paris"
"activityType/FRAN_RI_011-d-1intdxdljia-pb56cufc60rd","d-1intdxdljia-pb56cufc60rd","ActivityType","commission consultative",,,,,,,,,,,,,
"activityType/FRAN_RI_011-d3nyugp6nd-1m2amxlhij5ib","d3nyugp6nd-1m2amxlhij5ib","ActivityType","communication","information",,,,,,,,,,,,
"activityType/FRAN_RI_011-d3nyugqf1y-blcz6vh7uoov","d3nyugqf1y-blcz6vh7uoov","ActivityType","comptabilité",,,,,,,,,,,,,
"activityType/FRAN_RI_011-d3nyugrhf9--1m2btg6nbf1yr","d3nyugrhf9--1m2btg6nbf1yr","ActivityType","concession",,"Mode de gestion par lequel un service public est confié par une collectivité publique à un tiers qui jouit dès lors de certaines prérogatives de droit public. Il peut aussi s’agir d’une faculté concédée d’occuper une partie du domaine public ou de l’exploiter (voirie, énergie hydraulique) ou de simple jouissance (concession funéraire).","Ce terme ne s’applique qu’à des ensembles de dossiers résultant d’une procédure de concession, sinon le ou les actes de concession ne doivent être considérés que comme des types de documents. | Terme employé également dans le référentiel Matières.",,,,,,,,,,
"activityType/FRAN_RI_011-d3nyugsjkt--7vpbe5hqjvzi","d3nyugsjkt--7vpbe5hqjvzi","ActivityType","conseil",,"Rôle joué par des organismes placés auprès de l’administration ""active"" pour lui fournir des avis. Organismes du type ""conseil supérieur"". Ce rôle ne doit pas être confondu avec le simple rôle de coordination interne joué par de multiples organismes consultatifs spécialisés (conseils, commissions, comités).",,,,,,,,,,,
"activityType/FRAN_RI_011-d5bhvijvzi-12jddkelextba","d5bhvijvzi-12jddkelextba","ActivityType","consommation",,,,,,,,,,,,,
"activityType/FRAN_RI_011-d3nyugszba-a2wofi2a3sjm","d3nyugszba-a2wofi2a3sjm","ActivityType","construction",,,,,,,,,,,,,
"activityType/FRAN_RI_011-d3nyugtbte--13rem7tfg1o1y","d3nyugtbte--13rem7tfg1o1y","ActivityType","contentieux","contentieux adminitratif",,,,,,,,,,,,
