"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant du lieu dans la version du référentiel interne au SIA (RI_025)","Dénomination préférée (skos:prefLabel)","Historique (rico:history)"
"place/FRAN_RI_025-d3nzcqte8i--1em8lpjmxhfey","d3nzcqte8i--1em8lpjmxhfey","Puteaux (passage)","Voie actuelle. Autre(s) nom(s) : passage Pasquier."
"place/FRAN_RI_025-d3nzcqtpg1--xam5i37p5pw","d3nzcqtpg1--xam5i37p5pw","Puteaux (rue)","Voie actuelle. Autre(s) nom(s) : rue d'Arcet."
"place/FRAN_RI_025-d3nzcqt30z-10mi21yw01dav","d3nzcqt30z-10mi21yw01dav","Pute-Y-Muce (rue)","Actuellement rue du Petit-Musc."
"place/FRAN_RI_025-d3nzcqu081--vbz0sz5k5uc7","d3nzcqu081--vbz0sz5k5uc7","Putigneux (impasse)","Voie supprimée également dénommée rue Emeline-Boiliaue."
"place/FRAN_RI_025-d3nzcqubnb--ox70g66p57hj","d3nzcqubnb--ox70g66p57hj","Putigno (cul-de-sac)","Voie supprimée."
"place/FRAN_RI_025-d3nzcqumn3-rzgctdgi4gl5","d3nzcqumn3-rzgctdgi4gl5","Puvis-de-Chavannes (rue)","Voie actuelle."
"place/FRAN_RI_025-d3nzcquxmv--1j3olhq1fkgje","d3nzcquxmv--1j3olhq1fkgje","Puys (rue du)","Ou rue du Puys-Mauconseil. Actuellement partie de la rue du Vieux-Colombier."
"place/FRAN_RI_025-d3nzcqv8mm-1hwd18p29b341","d3nzcqv8mm-1hwd18p29b341","Puys-Mauconseil (rue du)","Voir rue du Puys."
"place/FRAN_RI_025-d3nzcqvjme--10k308bk5p3ze","d3nzcqvjme--10k308bk5p3ze","Py (chemin de la)","Actuellement partie de la rue de la Py."
"place/FRAN_RI_025-d3nzcqvutx--p3o4ovd1219d","d3nzcqvutx--p3o4ovd1219d","Py (impasse de la)","Voie supprimée."
"place/FRAN_RI_025-d3nzcqw61g-rsz8koa67mtb","d3nzcqw61g-rsz8koa67mtb","Py (rue de la)","Voie actuelle. Autre(s) nom(s) : chemin de la Py et sentier des Falaises."
"place/FRAN_RI_025-d3nzcqwhoh--up7269rwe8kl","d3nzcqwhoh--up7269rwe8kl","Py (sentier de traverse de la)","Actuellement rue Martin-Garat."
"place/FRAN_RI_025-d3nzcqxwze--1vsfjcuj10ce1","d3nzcqxwze--1vsfjcuj10ce1","Pyramide (carrefour de la)","Voie actuelle."
"place/FRAN_RI_025-d3nzcqy99q-t66u27u4fu1h","d3nzcqy99q-t66u27u4fu1h","Pyramide (route de la)","Voie actuelle."
"place/FRAN_RI_025-d3nzcqyk9i--ygmgp7dm2qia","d3nzcqyk9i--ygmgp7dm2qia","Pyramides (place des)","Voie actuelle."
