"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant du lieu dans la version du référentiel interne au SIA (RI_023)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Date de début  d’existence (rico:beginningDate)","Date de fin  d’existence (rico:endDate)","Historique (rico:history)"
"place/FRAN_RI_023-d3nyvg7kdy--1evdkf7eel5b8","d3nyvg7kdy--1evdkf7eel5b8","Ile-Saint-Louis (Paris ; quartier)","Ile-Saint-Louis (quartier) | Fraternité (section révolutionnaire)","1811","1860","Quartier ayant existé de 1811 à 1860. Il correspond à la section révolutionnaire Fraternité."
"place/FRAN_RI_023-d3nyvg80zh--1wh0vxxb8ksn7","d3nyvg80zh--1wh0vxxb8ksn7","Invalides (Paris ; quartier)","Invalides (quartier)","1811",,"Quartier créé en 1811."
"place/FRAN_RI_023-d3nyvg8h5h--1j9ncpdvqgt0","d3nyvg8h5h--1j9ncpdvqgt0","Jardin-des-Plantes (Paris ; quartier)","Jardin-des-Plantes (quartier) | Sans-Culottes (section révolutionnaire) | Jardin-des-plantes (section révolutionnaire) | Jardins-du-Roi","1811",,"Quartier créé en 1811. Il correspond à la section révolutionnaire dénommée successivement Jardin-du-Roi, Jardin-des-plantes, Sans-Culottes."
"place/FRAN_RI_023-d3nyvg8u33--1wegg1knmsaz7","d3nyvg8u33--1wegg1knmsaz7","Javel (Paris ; quartier)","Javel (quartier)","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d3nyvg965n--tinsz7umj14x","d3nyvg965n--tinsz7umj14x","La Chapelle (Paris ; quartier)","La Chapelle (quartier)","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d3nyvg9loe--1dmpbtwt9itm0","d3nyvg9loe--1dmpbtwt9itm0","La Roquette (Paris ; quartier)","La Roquette (quartier)","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d3m0bq3oc1o-lf0t18723p28","d3m0bq3oc1o-lf0t18723p28","La Ville-l'Evêque (Paris ; quartier)","La Ville-l'Evêque (faubourg)",,,
"place/FRAN_RI_023-d3m0bq3nnhg-1ajky3lv4bwvw","d3m0bq3nnhg-1ajky3lv4bwvw","La Villeneuve-sur-Gravois (Paris ; quartier)","La Villeneuve-sur-Gravois (faubourg)",,,
"place/FRAN_RI_023-d3nyvg9ytr--109iiy6wp8v5z","d3nyvg9ytr--109iiy6wp8v5z","La Villette (Paris ; quartier)","La Villette (quartier)","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d3m0bq3nv0f-14fyj0pcsb5lo","d3m0bq3nv0f-14fyj0pcsb5lo","Le Roule (Paris ; quartier)","Le Roule (quartier) | République (section révolutionnaire)","1811",,"Quartier créé en 1811. Il correspond à la section révolutionnaire République."
